รหัสโรงเรียน,ชื่อโรงเรียน,ระดับชั้น,ที่อยู่,ถนน,ตำบล,อำเภอ,จังหวัด,รหัสไปรษณีย์,โทร,แฟกซ์,เขต,ประเภท 1
60103240,ศพด.บุ่งผักหนาม,,,,แม่เล่ย์,แม่วงศ์,นครสวรรค์,,,,,
60103241,ศพด.บ้านปางสุด,,,,แม่เล่ย์,แม่วงศ์,นครสวรรค์,,,,,
60103242,ศพด.บ้านคลองไทร,,,,แม่เล่ย์,แม่วงศ์,นครสวรรค์,,,,,
60103243,ศพด.บ้านหินดาต,,,,แม่เล่ย์,แม่วงศ์,นครสวรรค์,,,,,
60103244,ศพด.บ้านใหม่เจ้าพระยา,,,,แม่เล่ย์,แม่วงศ์,นครสวรรค์,,,,,
60103245,ศพด.บ้านยุบใหญ่,,,,แม่เล่ย์,แม่วงศ์,นครสวรรค์,,,,,
60103246,ศพด.บ้านเกรียงไกร,,,,เกรียงไกร,เมืองนครสวรรค์,นครสวรรค์,,,,,
60103247,ศพด.บ้านท่าทอง,,,,นครสวรรค์ตก,เมืองนครสวรรค์,นครสวรรค์,,,,,
60103248,ศพด.สันคู,,,,นครสวรรค์ตก,เมืองนครสวรรค์,นครสวรรค์,,,,,
60103249,ศพด.หนองเบน,,,,หนองเบน,แม่วงศ์,นครสวรรค์,,,,,
60103250,ศพด.เขาชนกัน,,,,เขาชนกัน,แม่วงศ์,นครสวรรค์,,,,,
60103251,ศพด.วัดวังน้ำขาว,,,,เขาชนกัน,แม่วงศ์,นครสวรรค์,,,,,
60103252,ศพด.แม่เล่ย์,,,,แม่เล่ย์,แม่วงศ์,นครสวรรค์,,,,,
